City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
constitucion,-35.33,-72.42,52.7,79,0,6.85,CL,1605495032
cairns,-16.92,145.77,91.99,49,100,13.87,AU,1605495083
ixtapa,20.7,-105.2,77.0,73,5,3.36,MX,1605495176
vera cruz,-12.63,-41.03,72.61,80,87,3.76,BR,1605495176
somerset,40.57,-74.55,54.0,76,90,6.93,US,1605494959
klaksvik,62.23,-6.59,42.8,100,100,19.46,FO,1605495176
kavieng,-2.57,150.8,80.74,81,100,4.63,PG,1605495176
katangli,51.71,143.23,26.78,84,4,15.79,RU,1605495176
letlhakane,-21.42,25.58,78.76,25,95,7.92,BW,1605495177
hanzhong,33.07,107.03,62.56,51,1,5.19,CN,1605495177
esna,25.29,32.55,59.0,67,0,2.24,EG,1605495177
picton,-34.18,150.6,102.99,43,98,1.01,AU,1605495177
aykhal,66.0,111.5,-11.2,83,0,4.47,RU,1605495177
beneditinos,-5.45,-42.37,84.2,66,0,9.17,BR,1605495177
zyryanka,65.75,150.85,-9.49,90,100,12.1,RU,1605495177
lazaro cardenas,17.96,-102.2,78.26,81,3,2.06,MX,1605495177
korla,41.76,86.15,37.99,70,99,8.99,CN,1605495177
kismayo,-0.36,42.55,79.74,79,68,10.2,SO,1605495178
koslan,63.46,48.9,27.63,97,83,8.08,RU,1605495178
soderhamn,61.3,17.06,50.0,94,100,7.0,SE,1605495178
banda aceh,5.56,95.32,84.61,71,64,11.21,ID,1605495178
balestrand,61.21,6.53,50.0,80,100,3.24,NO,1605495178
shingu,33.73,135.98,69.8,68,75,3.36,JP,1605495178
tautira,-17.73,-149.15,84.2,70,20,9.17,PF,1605495178
kovur,14.48,79.98,77.07,92,100,17.81,IN,1605495178
vostok,46.49,135.88,22.32,84,4,14.72,RU,1605495178
chulym,55.1,80.96,19.33,97,100,9.04,RU,1605495178
nizhniy kuranakh,58.84,125.49,9.66,93,100,9.35,RU,1605495179
aden,12.78,45.04,78.85,72,4,11.14,YE,1605494942
falam,22.92,93.68,68.25,56,2,2.42,MM,1605495179
salalah,17.02,54.09,73.4,56,0,3.36,OM,1605495179
gabu,12.28,-14.22,70.12,35,0,1.3,GW,1605495179
baykit,61.67,96.37,5.0,90,100,3.27,RU,1605495179
pontes e lacerda,-15.23,-59.34,73.98,86,82,1.28,BR,1605495179
aleksandriya,45.09,43.25,36.63,82,100,18.57,RU,1605495179
bull savanna,17.89,-77.59,75.61,85,100,11.16,JM,1605495179
ngunguru,-35.62,174.5,66.76,60,98,10.02,NZ,1605495180
ribas do rio pardo,-20.44,-53.76,71.82,90,100,3.29,BR,1605495180
lerwick,60.15,-1.15,48.2,87,90,8.05,GB,1605495180
hanting,36.77,119.21,62.74,53,94,6.15,CN,1605495180
pombia,45.65,8.63,48.2,100,90,2.24,IT,1605495180
ust-karsk,52.7,118.81,21.45,85,98,1.57,RU,1605495180
burleson,32.54,-97.32,50.0,65,1,2.82,US,1605495180
jelgava,56.65,23.71,41.0,86,90,13.87,LV,1605495180
tahta,26.77,31.5,59.0,72,0,5.82,EG,1605495180
teahupoo,-17.83,-149.27,84.2,70,20,9.17,PF,1605495180
talaja,21.35,72.05,80.1,45,3,11.34,IN,1605495181
cayenne,4.93,-52.33,77.0,100,47,7.45,GF,1605495181
san blas,21.52,-105.27,73.65,84,0,2.71,MX,1605495181
vao,-22.67,167.48,75.16,78,1,12.64,NC,1605495181
solnechnyy,50.72,136.63,25.54,77,5,8.3,RU,1605495181
altay,47.87,88.12,28.27,85,29,1.72,CN,1605495181
seminole,28.71,-81.21,73.99,88,75,5.82,US,1605495181
broome,42.25,-75.83,44.6,65,75,17.22,US,1605495181
shelbyville,35.48,-86.46,48.2,45,0,5.68,US,1605495182
labuhan,-6.88,112.21,88.2,62,16,5.91,ID,1605495182
shumskiy,54.83,99.13,21.22,93,73,0.74,RU,1605495182
cockburn town,21.46,-71.14,80.1,74,35,20.42,TC,1605495182
lichinga,-13.31,35.24,64.4,63,0,8.05,MZ,1605495182
les cayes,18.2,-73.75,76.53,72,100,5.53,HT,1605495041
pokhara,28.23,83.98,71.37,30,82,1.39,NP,1605495182
tabas,33.6,56.92,41.0,52,0,2.24,IR,1605495182
taoudenni,22.68,-3.98,70.93,23,13,15.3,ML,1605495183
djambala,-2.54,14.75,65.52,97,100,2.64,CG,1605495183
hay river,60.82,-115.8,3.2,77,81,6.93,CA,1605495183
bathsheba,13.22,-59.52,82.4,83,40,9.17,BB,1605495183
zhanakorgan,43.91,67.25,15.98,91,0,9.62,KZ,1605495183
san quintin,30.48,-115.95,65.59,48,0,4.09,MX,1605495183
beaumont,30.09,-94.1,60.8,47,1,3.36,US,1605495099
severnyy,50.68,36.55,28.0,100,75,11.18,RU,1605495183
riobamba,-1.67,-78.63,53.65,73,100,3.2,EC,1605495183
atar,20.52,-13.05,78.53,19,100,12.21,MR,1605495184
osoyoos,49.03,-119.45,41.0,75,6,4.7,CA,1605495184
itarema,-2.92,-39.92,79.86,80,43,13.47,BR,1605495184
san ramon,37.78,-121.98,59.0,58,1,4.7,US,1605495184
ndioum,16.51,-14.65,78.64,17,90,8.72,SN,1605495184
marfino,55.7,37.38,30.99,86,90,8.95,RU,1605495184
tiarei,-17.53,-149.33,84.2,70,20,9.17,PF,1605495184
aasiaat,68.71,-52.87,8.46,82,100,13.27,GL,1605495184
forres,57.61,-3.61,51.01,81,95,14.99,GB,1605495184
tailai,46.38,123.4,40.06,66,33,7.85,CN,1605495058
hudiksvall,61.73,17.1,47.01,90,100,12.91,SE,1605495184
komsomolskiy,40.43,71.72,30.2,86,0,4.7,UZ,1605495184
umm lajj,25.02,37.27,71.01,68,0,5.19,SA,1605495185
campbellton,48.01,-66.67,32.0,94,100,12.75,CA,1605495185
qaqortoq,60.72,-46.03,12.2,61,0,3.36,GL,1605495185
san joaquin,37.93,-121.3,60.01,41,1,2.75,US,1605495185
pitea,65.32,21.48,41.0,100,100,19.46,SE,1605495185
beisfjord,68.38,17.6,42.8,75,97,9.17,NO,1605495185
abha,18.22,42.51,57.2,93,4,1.99,SA,1605495185
wangaratta,-36.37,146.33,81.0,16,23,20.8,AU,1605495185
parana,-31.73,-60.52,68.0,67,65,11.1,AR,1605495054
los llanos de aridane,28.66,-17.92,71.6,83,40,4.7,ES,1605495185
doha,25.29,51.53,69.8,68,0,3.15,QA,1605495026
urbana,40.11,-88.21,43.0,67,1,13.87,US,1605495162
cartagena,10.4,-75.51,78.8,100,75,7.65,CO,1605495045
samarai,-10.62,150.67,82.83,78,94,12.44,PG,1605495186
altona,53.55,9.93,50.0,81,48,11.41,DE,1605495186
saint-francois,46.42,3.91,50.0,81,0,4.7,FR,1605495186
zykovo,55.95,93.15,8.6,92,40,2.24,RU,1605495186
ketchikan,55.34,-131.65,41.0,74,1,5.82,US,1605495186
mae sot,16.72,98.57,75.2,78,0,2.57,TH,1605495182
letlhakeng,-24.09,25.03,71.6,31,36,5.19,BW,1605495186
luba,3.46,8.55,73.4,100,20,3.36,GQ,1605495186
lampang,18.33,99.5,81.0,69,0,1.61,TH,1605495186
jiwani,25.05,61.74,67.44,28,0,12.95,PK,1605495186
mao,39.89,4.27,66.2,88,0,9.17,ES,1605495187
lavrentiya,65.58,-171.0,30.97,96,100,19.89,RU,1605495187
nishihara,26.18,127.76,80.6,65,40,17.22,JP,1605495187
fairfield,41.27,-73.32,55.99,81,90,14.99,US,1605494975
redcar,54.62,-1.06,52.0,87,42,8.01,GB,1605495187
mehamn,71.04,27.85,39.79,81,95,12.06,NO,1605495187
guangyuan,32.44,105.82,63.0,63,89,4.45,CN,1605495187
ligayan,4.65,119.47,83.57,70,77,2.82,PH,1605495187
bahia honda,22.9,-83.16,75.2,87,0,9.62,CU,1605495187
jimeta,9.28,12.47,73.0,30,10,0.92,NG,1605495187
moratuwa,6.77,79.88,78.8,94,75,1.12,LK,1605495188
thanh hoa,19.8,105.77,67.91,92,100,6.22,VN,1605495188
joinville,-26.3,-48.85,70.0,92,99,0.78,BR,1605495109
chicama,-7.84,-79.15,64.74,80,100,4.38,PE,1605495188
mayachnyy,52.68,55.69,8.76,94,0,4.25,RU,1605495188
aljezur,37.32,-8.8,62.01,95,18,1.99,PT,1605495188
manta,-0.95,-80.73,73.4,78,20,9.17,EC,1605495188
formosa do rio preto,-11.05,-45.19,74.34,60,91,1.92,BR,1605495188
tungor,53.38,142.96,25.41,90,96,20.07,RU,1605495188
kaitangata,-46.28,169.85,63.14,58,43,10.83,NZ,1605495189
rio gallegos,-51.62,-69.22,51.8,40,0,27.51,AR,1605495189
mitsamiouli,-11.38,43.28,77.85,72,0,6.04,KM,1605495189
bolgar,54.95,49.07,5.0,84,0,6.62,RU,1605495189
margate,51.38,1.39,51.01,66,2,8.99,GB,1605495189
eastbourne,50.77,0.28,51.01,83,31,7.0,GB,1605495189
roseburg,43.22,-123.34,53.6,87,90,2.08,US,1605495189
norden,53.6,7.2,48.2,76,60,17.22,DE,1605495043
caravelas,-17.71,-39.25,75.18,93,100,8.86,BR,1605495189
beringovskiy,63.05,179.32,34.83,91,100,20.78,RU,1605495189
sibolga,1.74,98.78,86.9,64,49,2.13,ID,1605495190
saint george,37.1,-113.58,53.6,23,1,3.36,US,1605494970
sahuaripa,29.05,-109.23,66.09,30,0,3.04,MX,1605495190
balykshi,47.07,51.87,10.4,78,0,8.95,KZ,1605495190
tombouctou,20.0,-3.0,72.19,21,0,12.91,ML,1605495190
iqaluit,63.75,-68.51,24.8,73,75,19.46,CA,1605495190
dayong,25.02,118.29,77.0,61,40,4.47,CN,1605495190
biloela,-24.42,150.5,95.94,25,0,8.34,AU,1605495190
la union,-5.4,-80.75,65.89,75,100,10.0,PE,1605495190
daltenganj,24.03,84.07,75.11,57,0,4.07,IN,1605495190
anadyr,64.75,177.48,33.8,86,0,29.08,RU,1605495191
